Route,Direction,Direction_Destination
71,2,CHESSINGTON WORLD OF ADVENTURES
72,1,NORLEY VALE
72,2,TELFORD WAY
73,1,STOKE NEWINGTON COMMON
73,2,VICTORIA BUS STATION  
74,1,BAKER STREET STATION 
74,2,PUTNEY EXCHANGE
75,1,FAIRFIELD HALLS
75,2,LEWISHAM BUS STATION
76,1,LOWER MARSH
76,2,PHILIP LANE
77,1,TOOTING STATION 
77,2,WATERLOO STATION  
78,1,ST MARY'S ROAD
78,2,CURTAIN ROAD
79,1,EDGWARE STATION 
79,2,GLACIER WAY
80,1,REYNOLDS CLOSE
80,2,DOWNVIEW AND HIGHDOWN PRISONS
81,1,HOUNSLOW BUS STATION
81,2,SLOUGH BUS STATION
82,1,VICTORIA BUS STATION  
82,2,NORTH FINCHLEY BUS STATION
83,1,EALING HOSPITAL
83,2,GOLDERS GREEN STATION 
85,1,PUTNEY BRIDGE STATION 
85,2,KINGSTON HALL ROAD
86,1,ROMFORD STATION 
86,2,STRATFORD BUS STATION   [DLR]
87,1,ALDWYCH / DRURY LANE
87,2,WANDSWORTH PLAIN
88,1,CLAPHAM COMMON OLD TOWN
88,2,CAMDEN GARDENS
89,1,FOREST ROAD / SLADE GREEN STATION 
89,2,LEWISHAM BUS STATION
90,1,FELTHAM LEISURE WEST
90,2,NORTHOLT STATION 
91,1,WHITEHALL / TRAFALGAR SQUARE
91,2,ROSEBERY GARDENS
92,1,IKEA BRENT PARK
92,2,EALING HOSPITAL
93,1,PUTNEY BRIDGE STATION 
93,2,PRIORY ROAD
94,1,CHARLES I I STREET
94,2,ACTON GREEN
95,1,SHEPHERDS BUSH GREEN
95,2,SOUTHALL TOWN HALL
96,1,THOMAS STREET
96,2,BLUEWATER SHOPPING CENTRE
97,1,STRATFORD CITY BUS STATION
97,2,CHINGFORD STATION 
98,1,RED LION SQUARE
98,2,POUND LANE
99,1,GEDDES PLACE
99,2,BERESFORD SQ / WOOL'CH ARSENAL STN [DLR]
100,1,ST GEORGES TOWN HALL
100,2,ELEPHANT & CASTLE / NEWINGTON CAUSEWAY
101,1,GALLIONS REACH SHOPPING PARK
101,2,WOODBINE PLACE
102,1,BRENT CROSS SHOPPING CENTRE
102,2,EDMONTON GREEN BUS STATION
103,1,RAINHAM STATION
103,2,CHASE CROSS
104,1,MANOR PARK / GLADDING ROAD
104,2,STRATFORD BUS STATION   [DLR]
105,1,HEATHROW CENTRAL BUS STATION
105,2,GREENFORD STATION  
106,1,CAVELL STREET
106,2,FINSBURY PARK INTERCHANGE  
107,1,NEW BARNET STATION 
107,2,EDGWARE STATION 
108,1,LEWISHAM BUS STATION
108,2,STRATFORD BUS STATION   [DLR]
109,1,BRIXTON STATION  
109,2,PARK STREET
110,1,WEST MIDDLESEX HOSPITAL
110,2,ARRAGON ROAD
111,1,HEATHROW CENTRAL BUS STATION
111,2,CROMWELL ROAD BUS STATION
112,1,BRENT CROSS SHOPPING CENTRE
112,2,EALING BROADWAY STATION  
113,1,MARBLE ARCH STATION 
113,2,EDGWARE STATION 
114,1,RUISLIP STATION 
114,2,MILL HILL BROADWAY STATION 
115,1,ALDGATE BUS STATION
115,2,EAST HAM / WHITE HORSE
116,1,HOUNSLOW BUS STATION
116,2,ASHFORD HOSPITAL
117,1,STAINES BUS STATION
117,2,WEST LONDON MENTAL HEALTH TRUST
118,1,MORDEN STATION 
