Bus_Stop_Code,Stop_Name
49934,MARLPIT AVENUE
49935,CRABTREE MANORWAY NORTH
49936,MALTBY STREET
49937,TOWER OF LONDON
49938,RED LION ROAD
49939,MULLION CLOSE
49940,ALEXANDRA PALACE & PARK
49941,HIGH ROAD EASTCOTE
49943,GREEN LANES
49944,CHESTER ROAD
49945,BRONDESBURY PARK STATION
49946,ROUNTON ROAD
49947,NORTH ROAD
49948,POPES GROTTO
49949,CRYSTAL TERRACE
49950,HOWARD ROAD
49951,SHEPHERDS BUSH GREEN
49952,WATERLOO STATION / MEPHAM STREET <> #
49953,MAYBANK ROAD
49954,BROADHURST AVENUE
49955,PERTH ROAD
49957,FIELDGATE STREET
49958,CLARENDON WAY
49960,QUEEN'S HOSPITAL
49961,COULSDON TOWN STATION #
49962,NORTH FINCHLEY BUS STATION
49963,AVENUE ROAD
49964,CLAPTON GIRLS' TECHNOLOGY COLLEGE
49965,MCGRATH ROAD
49966,KENTON LIBRARY
49967,QUEENHILL ROAD
49968,STRATFORD SCHOOL
49969,VICARAGE FARM ROAD
49970,STONECROP CLOSE
49971,MILL HILL ROAD
49972,BURY STREET
49973,GREEN LANE
49974,PLYMPTON AVENUE
49975,PLASSY ROAD
49976,CRANBORNE ROAD INDUSTRIAL ESTATE
49977,KIDBROOKE HEALTH CENTRE
49978,ST KATHARINE DOCKS
49979,NORTH COMMON ROAD
49980,PUTNEY BRIDGE STATION <>
49981,QUEEN'S CRESCENT
49982,RICHMOND BUS STATION
49983,BRIARLEAS GARDENS
49984,ONSLOW SQUARE
49985,FOREST HILL STATION # / WALDRAM CRESCENT
49986,MORDEN STATION <>
49987,HIGH STREET / WIMBLEDON VILLAGE
49988,ASHLEY DRIVE
49989,BROCKLEY GROVE / CROFTON PARK ROAD
49990,CHISWICK ROUNDABOUT / GUNNERSBURY
49992,FREEBORNE GARDENS
49993,GALLOWS CORNER
49994,KINGSBURY GREEN
49995,BROWNING ROAD
49996,WILLETT WAY
49997,SUTTON BUS GARAGE
49998,HOLCOMBE HILL
49999,OAK VIEW SCHOOL
50000,WANDSWORTH PLAIN
50001,CROWN LANE / CROWN POINT
50002,WHITTON DENE
50003,STANLEY AVENUE
50004,HILLSIDE ROAD
50005,IMPERIAL ROAD / CHELSEA HARBOUR
50006,RUSHETT LANE
50007,ALL SAINTS CHURCH
50010,ROYAL BRITISH LEGION
50011,FULWELL STATION #
50012,FAIRLAWN AVENUE
50013,WELL HALL ROAD / WELL HALL ROUNDABOUT
50014,MUNSTER ROAD
50015,HEATHROW TERMINAL 5
50016,HUMBER ROAD
50017,CATFORD BRIDGE STATION #
50018,JUTSUMS LANE
50020,POLISH WAR MEMORIAL
50021,ARGALL WAY
50022,BROMLEY CIVIC CENTRE
50023,GROVE FARM COTTAGES
50024,KEW GARDENS ROAD
50025,WHITCHURCH LANE
50026,THOMAS LANE
50027,ORLEANS PARK SCHOOL
50028,ARBUTHNOT LANE
50029,FULWELL BUS GARAGE
50030,WEST SUTTON STATION #
50031,SEYMOUR ROAD
50032,NORTH CIRCULAR ROAD
50033,PICKHURST PARK
50034,KNIGHTSBRIDGE STATION <>
50035,OCEAN ESTATE
50036,BROMLEY COMMON / TURPINGTON LANE
50037,MAWNEY ROAD
50038,CANEY MEWS
50039,HEATH ROAD / GROVE AVENUE
50040,PEACE CLOSE
50041,SPENCER CLOSE
50042,ROWAN CRESCENT
50043,TANGLEWOOD
50044,ST LEONARDS ROAD
50045,CLAYPONDS AVENUE
50046,CRONDALL STREET / HOXTON STREET MARKET
50048,SAM PHILLIP RECREATION GROUND
50049,OAKMEAD GARDENS
50050,BROAD GREEN AVENUE
50051,MARKET PLACE / BEXLEYHEATH CLOCK TOWER
50052,OLYMPIC PARK NORTH
50053,BALMORAL DRIVE
50054,CAMBERWELL ROAD / ALBANY ROAD
50055,TULSE HILL STATION #
50056,ST PATRICK'S CHURCH
50057,BECKENHAM HIGH STREET / WAR MEMORIAL
50058,NETHERBY ROAD
50059,ABERDEEN ROAD
50060,MAYLANDS WAY
50061,DOME HILL PARK
50062,SEWARD ROAD
50063,MAPLE ROAD
50064,LEWISHAM COLLEGE
50065,GORDON HILL
50066,NIGHTINGALE ROAD
50067,KENNELWOOD CRESCENT
50068,CONWAY ROAD
50069,UPLAND ROAD
50071,OLD BOND STREET / ROYAL ACADEMY
50072,TUDOR ROAD
50073,SOUTHEND CRESCENT / SOUTHEND CLOSE
50074,CHELTENHAM ROAD
50075,HERNE HILL ROAD
50076,ALLENDALE ROAD
50077,EAST CROYDON STATION #  >T<
50078,MARBROOK COURT
50079,FITZALAN STREET
50080,WHITEHALL ROAD / BANCROFTS SCHOOL
50081,NEW PEACHEY LANE
50082,ROYAL PARADE
50083,DENE ROAD
50084,CENTRAL WAY
50085,EASTGATE CLOSE
50086,PARK PARADE
50087,ARDLEIGH GREEN SCHOOL
50088,HAYDONS ROAD / MERTON HIGH STREET
50089,BRIXTON STATION <> #
50090,RAMSDEN ROAD / KYNASTON ROAD
50091,HENSON AVENUE
50092,COTTESBROOK STREET
50093,THE PARADE / CLAYGATE STATION #
50094,NORTH FARM
50095,ST MARY & ST MICHAEL CHURCH
50096,NIGHTINGALE PLACE
50097,FAIRLAWN AVENUE
50098,DENE ROAD
50099,MANOR PARK ROAD
50100,DENMARK HILL / CAMBERWELL GREEN
50101,WOLSEY CRESCENT
50102,THE GREEN
50103,MARSHALSEA ROAD
50104,SURBITON ROAD / PENRHYN ROAD
50105,TITCHFIELD ROAD
50106,DERBY ROAD
50107,LINSTEAD WAY
50108,POPLAR COURT
50109,GREAT SOUTH WEST ROAD
50110,CHISWICK ROAD
50111,UPTON PARK / GREEN STREET
50112,CHASE ROAD
50113,CHESTER GARDENS
50114,CHURCH HILL
50115,MORAY WAY
50116,MINSTER ROAD
50117,PADDENSWICK ROAD
50118,NORBURY STATION #
50119,BECONTREE STATION <>
50120,CHURCH GROVE / THE KING'S FIELD
50121,MURRAY GROVE / PROVOST ESTATE
50122,TUDOR GRANGE
50123,HOLLYFIELD ROAD
50124,DOUGLAS ROAD
50125,WHITECHAPEL HIGH STREET
50126,UNDERCLIFF ROAD
50127,SCOTTS LANE
50128,LANGDALE GARDENS
50129,OAK GROVE
50130,MILL GREEN ROAD
50131,ELGIN ROAD
50132,WANDSWORTH TOWN STATION #
50133,HARINGEY FOOTBALL GROUND
50134,BALD FACED STAG
50135,HUXLEY CLOSE
50136,TOOTING BEC STATION <>
50137,HERON QUAYS
50138,CHURCH ROAD
50139,OBSERVATORY CENTRE
50141,ANDREW STREET
50142,BOORD STREET
50143,ST AUGUSTINE'S ROAD
50144,SURBITON STATION #
50145,CROSSWAY
50146,SUDBURY COURT ROAD
50147,BATTERSEA BRIDGE / HESTER ROAD
50148,BREAKSPEAR ROAD
50149,ST LAWRENCE CHURCH
50150,ISLIP MANOR PARK
50151,STRATFORD BUS STATION <>#[DLR]
50152,MALVERN ROAD
50153,BEDFONT LIBRARY
50154,ST MARY'S SCHOOL
50155,DAVENANT SCHOOL
50156,CROYDE AVENUE
50157,WOOD STREET MARKET
50158,ELTHAM BUS STATION #
50159,HANWELL STATION #
50161,COLD BLOW LANE
50162,BRIMSDOWN STATION #
50163,EDMONTON GREEN POLICE STATION
50164,TOR ROAD
50165,NELSON ROAD
50166,WHIPPS CROSS HOSPITAL / MAIN ENTRANCE
50167,PLUMSTEAD ROAD / WOOLWICH PUBLIC MARKET
50168,HAMPTON LODGE
50169,EALING HOSPITAL
50170,CLEVELAND GARDENS
50171,WARREN STREET STATION <>
50172,NATHAN WAY / EASTERN WAY
50173,GALLIONS REACH SHOPPING PARK
50174,BROMLEY / MARKET PLACE
50175,MUNSTER ROAD
50176,QUEEN ELIZABETH'S WALK
50177,FRESTON GARDENS
50178,TURNHAM GREEN CHURCH
50179,TEMPLE FORTUNE LANE
50180,BALLARDS ROAD / PRINCESS PARADE
50181,MITCHAM TRAM STOP >T<
50182,LOMBARD ROAD
50183,GALLIONS PARK
50184,MARSHALL CLOSE
50185,FARM CLOSE
50186,GOOSHAYS DRIVE
50188,AGAR GROVE ESTATE
50189,ILFORD STATION #
50190,ALLISON GROVE
50191,PARKWOOD ROAD
50192,MARSH HILL / MARSH LANE
50193,HANNIBAL WAY
50194,BRIAR ROAD
50195,TATE BRITAIN
50196,DURLEY AVENUE
50197,MINSTER ROAD
50198,STUDLEY ROAD
50199,MILE END ROAD
50200,THE BIRCHWOOD
50201,BROADMEAD ROAD
50202,ELTHAM PARK GARDENS
50203,REIGATE ROAD / NORK WAY
50204,PHILLIDA ROAD
50205,THE APPLEBY CENTRE
50206,BLACKHEATH / ROYAL STANDARD
50207,BOROUGH STATION <> / GREAT DOVER STREET
50209,HAVEN GREEN
50210,WEMBLEY STADIUM STATION
50211,LEYS AVENUE
50212,CRICKETFIELD ROAD
50213,HARROW LODGE PARK
50214,EASTFIELD ROAD
50215,RAINHAM STATION #
50216,SOUTHFIELD CLOSE
50217,ILCHESTER ROAD
50218,PRIESTLEY WAY
50219,HAYNE ROAD
50220,COLYERS WALK
50221,WHITEHORSE LANE
50222,RENFREW CLOSE
50223,ARUNDEL AVENUE
50224,HIGH ROAD ILFORD
50225,WOODCOTE DRIVE
50226,TOTTERIDGE GREEN
50227,BADRIC COURT
50228,MEDICAL RESEARCH INSTITUTE
50229,SOUTH NORWOOD SWIMMING POOL
50230,SPITALFIELDS MARKET
50231,CHURCH DRIVE
50232,SURREY ROAD
50233,EARLSFIELD ROAD
50234,CHURCHILL MEMORIAL
50235,ROSE HILL / ROSE HILL ROUNDABOUT
50236,REIGATE ROAD / COLLEGE ROAD
50237,WAITE STREET
50238,NORTHWICK PARK HOSPITAL
50239,TUNSTOCK WAY
50240,SMITH CLOSE
50241,GREGORY ROAD
50242,FYFIELD ROAD
50243,LOXFORD SCHOOL OF SCIENCE AND TECHNOLOGY
50244,KENTON STATION #
50245,WESTBOURNE PARK STATION <>
50247,HAWTHORN ROAD
50248,BECKTON DISTRICT PARK
50249,FOREST ROAD
50250,MELANIE CLOSE
50251,ST CEDD'S CHURCH
50252,THE BUSHEY ACADEMY
50253,SUTTON / MARSHALL'S ROAD
50254,MERSTHAM STATION #
50255,SOUTH HARROW STATION <>
50256,NORWOOD AVENUE
50257,BOSTALL HILL / BRAMPTON ROAD
50258,WARWICK GARDENS
50259,ELM ROAD
50260,THAMES ROAD
50261,FLOOD STREET
50262,DOVERS CORNER
50263,BLUEWATER SHOPPING CENTRE
50264,EDGEWORTH AVENUE
50265,MORFORD WAY
50266,BROWNHILL ROAD
50267,MEADOWVIEW ROAD
50268,FULHAM POOLS
50269,ST CEDD'S CHURCH
50270,FARNHAM GARDENS
50271,ORCHARD ROAD
50272,BARRETTS GREEN ROAD
50273,CEARN WAY
50274,BROWNLOW ROAD
50275,BECKENHAM JUNCTION STATION # >T<
50276,FELTHAM WAR MEMORIAL
50277,ROMNEY ROAD
50278,CAMBORNE AVENUE
50279,OLD CAVENDISH STREET
50280,BARNEHURST STATION #
50281,FARNBOROUGH HIGH STREET / CHURCH ROAD
50282,ROMFORD POLICE STATION
50283,HARROW SCHOOL
50284,WESTWAY
50285,SHELL ROAD / BROOKBANK ROAD
50286,VICTORIA ROAD
50287,BRADING ROAD
50288,BEDFONT GREEN
50289,BUCKINGHAM ROAD
50290,MONKHAMS LANE
50291,TOOTING BEC LIDO
50292,SMART STREET
50293,LAWRENCE CAMPE CLOSE
50294,THE VINEYARD
50296,BIRDHURST GARDENS
50297,HURST ROAD
50299,CHEAM BROADWAY
50300,PEALL ROAD
50302,ST MARY'S CHURCH
50303,MILL LANE
50304,CLIFTON GARDENS
50305,NORTH DULWICH STATION #
50306,CHRISTIE DRIVE
50307,CANADA WATER BUS STATION
50308,UPMINSTER WINDMILL
50309,WILLOW DRIVE
50310,BAKER STREET
50311,WYVERN ROAD
50312,NORTH HILL AVENUE
50313,STAG LANE
50314,LINKS WAY
50315,DULWICH LIBRARY
50316,MANOR ROAD
50317,TEMPLE MILLS LANE
50319,BEULAH ROAD
50320,ANGEL STATION <>
50321,BAKERS AVENUE
50322,CROUCH HILL STATION #
50323,MOLESWORTH STREET
50324,ABBS CROSS GARDENS
50325,STUDLAND ROAD
50326,SANDRINGHAM ROAD
50327,BECKENHAM GROVE
50328,COLINDEEP LANE
50330,CHASE SIDE AVENUE
50331,THE LATCHMERE
50332,BURLEIGH ROAD
50333,ST MARY'S CEMETERY
50334,BRITISH MUSEUM
50335,CASTLE ROAD
50337,BERKELEY STREET
50338,KENNINGTON CHURCH
50339,WIMBLEDON TELEPHONE EXCHANGE
50340,WARNER ROAD
50341,SANDERSTEAD UNITED REFORMED CHURCH
50342,ST MARY'S SCHOOL
50344,OVERBURY CRESCENT
50345,WEST MOLESEY WAR MEMORIAL
50346,EASEDALE HOUSE
50347,GREAT RUSSELL STREET
50348,ROSENTHAL ROAD
50349,WHIPPS CROSS HOSPITAL / ACCIDENT & EMERGENCY
50350,ASHFORD ROAD
50352,CAMDEN PARK ROAD
50353,PLAISTOW POLICE STATION
50354,THAMES BARRIER
50355,BALHAM HEALTH CENTRE
50356,FAIRFIELD ROAD
50357,PRATT STREET
50359,HARBOUR EXCHANGE SQUARE
50360,LANCASTER AVENUE
50361,MANDEVILLE ROAD
50362,HORSESHOE CRESCENT
50364,DUNEDIN ROAD
50365,CARLTON AVENUE
50366,LEVETT GARDENS
50367,PARKSIDE
50368,BECKENHAM ROAD TRAM STOP >T<
50369,WEST MIDDLESEX HOSPITAL
50370,TILEHOUSE LANE
50371,OLD HOMESDALE ROAD
50372,VARTRY ROAD
50373,TRAFALGAR ROAD / PRINCE OF WALES
50374,GILLHAM TERRACE
50375,KINGSTON STATION #
50376,BEXLEYHEATH / CIVIC CENTRE
50377,BEARS WOOD
50378,TRAFALGAR AVENUE
50379,HILLFIELD ROAD
50380,CHISLEHURST / GORDON ARMS
50382,GOODMAYES LANE
50383,TWICKENHAM RD / WEST MIDDLESEX HOSPITAL
50384,ACTON FIRE STATION
50385,TORRIDON ROAD
50386,WOODSTOCK AVENUE
50387,BASTON SCHOOL
50388,LADYWELL LEISURE CENTRE
50389,THE FOREST
50390,UXBRIDGE STATION <>
50391,HENDON CEMETERY
50392,BOURENHALL ROAD
50393,QUEENSBURY ROAD
50394,STONEBRIDGE LOCK
50395,WINDMILL ROAD
50396,SCOTTES LANE
50397,CATHLES ROAD
50398,FALKIRK ST / HACKNEY COMMUNITY COLLEGE
50399,SOUTHWARK STREET
50400,ST ANDREW STREET
50401,WHALEBONE LANE SOUTH
50402,TRINITY CHURCH
50403,NORTH END ROAD
50404,BERESFORD ROAD
50405,YE OLDE CHERRY TREE
50406,CHURCH STREET
50407,SPRINGFIELD ROAD
50408,CHRISP STREET MARKET
50409,RIVER ROAD
50410,MOUNT EPHRAIM ROAD
50411,EAST STREET
50412,GOLBORNE ROAD
50413,PARK ROYAL ASDA / WESTERN ROAD
50414,JOSEPH AVENUE
50415,GILLESPIE ROAD
50416,CANDOVER CLOSE
50417,MILL HILL CIRCUS / FLOWER LANE
50418,BALFOUR STREET
50419,WOODCROFT AVENUE
50420,BYNG STREET
50421,COURTWOOD PRIMARY SCHOOL
50422,STAPLE STREET
50423,LONG ELMES / ASPRI MEDICAL CENTRE
50424,WEMBLEY ARENA
50425,EAST CROYDON BUS STATION
50426,COTTESBROOK STREET
50427,VICTORIA WAY
50428,BEDDINGTON FARM ROAD SORTING OFFICE
50429,TIFFIN GIRLS SCHOOL
50430,SAVILLE CRESCENT
50431,PURLAND ROAD EAST
50432,COOMBE ROAD
50433,PORTERS WAY
50434,SWISS COTTAGE STATION<> /  AVENUE ROAD
50435,TRAFALGAR SQUARE / CHARING CROSS STN<>#
50436,ST GEORGE'S ROAD
50437,LIMERSTON STREET
50438,TORRIANO INFANTS SCHOOL
50439,THE EAST PUBLIC HOUSE
50440,GALVESTON ROAD
50441,NURSERY ROAD
50442,YEADING LANE
50443,MILDMAY PARK / SOUTHGATE ROAD
50444,LEWISHAM STATION # [DLR]
50445,ALEXANDRA AVENUE
50446,BEECROFT ROAD
50447,KENWOOD HOUSE
50448,EAST ACTON LANE
50449,FRINGEWOOD CLOSE
50450,GREAT WEST ROAD
50451,LILAC GARDENS
50452,GEORGE LANE SHOPPING CENTRE
50453,LORDSHIP LANE / WOOD VALE
50454,NORTH ROAD
50455,GATWICK ROAD
50456,BRIAR CLOSE
50457,CLAPHAM NORTH STATION <>
50458,GAYNES ROAD
50459,BENTLEYWOOD HIGH SCHOOL
50461,PETERBOROUGH ROAD
50462,RECTORY WAY
50463,LANSDOWNE ROAD
50464,NORTH CRESCENT BUSINESS CENTRE
50465,WAKEMAN ROAD
50466,SALCOT CRESCENT
50467,MANOR WAY
50468,NORWOOD GREEN
50469,SHAFTESBURY AVENUE
50470,HAYDONS ROAD STATION #
50471,ST STEPHENS GARDENS
50472,QUEENS ROAD
50473,MOAT HOUSE
50474,NUXLEY ROAD / DRYHILL ROAD
50475,HERNE HILL STATION #
50476,CLERKENWELL ROAD
50477,SUFFOLK ROAD
50478,ROSEMARY GARDENS
50479,THE FAIRWAY
50480,STANFORD WAY
50481,WEIR HALL GARDENS
50482,PARKLANDS SCHOOL
50483,OXGATE LANE
50484,POPLAR HIGH STREET / BLACKWALL [DLR]
50485,WELBECK ROAD
50486,RICHMOND ROAD
50487,WEST CROYDON BUS STATION
50488,PECKHAM RYE / BARRY ROAD
50489,ISLINGTON TOWN HALL
50490,MORTLAKE CEMETERY
50491,PECKHAM POST OFFICE
50492,CENTRAL DRIVE
50493,BIRCH TREE WAY
50494,PORTMAN PLACE
50497,MILTON CRESCENT
50498,LADY SOMERSET ROAD
50499,THE FAIRWAY
50500,PITT CRESCENT
50501,BEAR ROAD FLYOVER
50502,THE PARADE
50503,KING EDWARD STREET
50504,ANDOVER ROAD
50505,CRANESWATER
50506,BRAYBOURNE DRIVE / GREAT WEST ROAD
50507,CAMBRIDGE HEATH STATION #
50508,EATON RISE
50509,GROSVENOR ROAD
50510,ST MARY'S ROAD
50511,WORSLEY BRIDGE ROAD
50512,CARGO CENTRE
50513,PARTRIDGE GREEN
50514,QUINTON CLOSE
50515,DEACONS HILL ROAD
50516,CROMWELL ROAD BUS STATION
50517,SYDENHAM POLICE STATION
50518,CROMWELL ROAD
50519,CUBITT TOWN SCHOOL
50520,PARK HILL
50521,RIPPLE ROAD
50522,IRENE ROAD
50523,SURBITON TELEPHONE EXCHANGE
50524,MONMOUTH ROAD
50526,CAPWORTH STREET
50527,WHITWORTH ROAD
50528,GRANGE WAY
50529,HARROW ROAD
50530,DALE ROAD
50531,WANDSWORTH ROAD STATION #
50532,LANGBOURNE PLACE
50533,GREAT PORTLAND STREET STATION <>
50534,ENDLEBURY ROAD
50535,CHURCH ROAD
50536,WHITMORE ROAD
50537,CLAY AVENUE
50538,WIMBLEDON STATION # <> >T<
50539,CRICHTON ROAD
50540,HALL VIEW
50541,HARLESDEN STATION <> #
50542,ST HELIER STATION #
50543,HALL DRIVE
50544,ROEHAMPTON VALE ASDA
50545,LAWN FARM GROVE
50546,HAMMERSMITH TOWN HALL
50547,YORK WAY
50548,ROTHERHITHE NEW RD / STH BERMONDSEY STN#
50549,LEVEN ROAD
50550,MORDEN / THE GEORGE
50551,CRANE VALLEY WALKWAY
50553,GREEN STREET
50554,EASTBOURNE ROAD
50555,THE GREEN
50556,TIMES SQUARE
50557,FORTIS GREEN
50558,PELLATT ROAD
50559,CULLODEN ROAD
50560,LANCASTER AVENUE
50561,CRITTALL'S CORNER
50562,ROMFORD STATION #
50563,TIBBET'S CORNER
50564,MILLWALL FOOTBALL GROUND
50565,GOOSE GREEN CLOSE
50566,BARTHOLOMEW WAY
50567,STOKESBY ROAD
50568,MARKET ROAD GARDENS
50569,OLD PALACE OF JOHN WHITGIFT SCHOOL
50570,BEULAH FAMILY CHURCH
50571,TEIGNMOUTH GARDENS
50572,CENTRAL AVENUE
50573,VICTORIA RISE
50574,FIRST AVENUE
50575,HAINAULT ROAD
50576,VALENCE AVENUE
50577,FOREST HILL STATION # / LONDON ROAD
50579,POUND COURT DRIVE
50580,RANDALL AVENUE
50581,RIDGE CLOSE
50582,CUMBERLAND CLOSE
50583,NEW CLOSE
50584,CAMBRIDGE ROAD
50585,RUSKIN AVENUE
50586,BAMPTON ROAD
50587,WALNUT TREE ROAD
50588,IRON BRIDGE
50589,HAINAULT ROAD
50590,WALTHAM CROSS BUS STATION
50591,MILL HILL BROADWAY STATION #
50592,DALSTON JUNCTION STATION #
50593,RUSKIN DRIVE
50595,DALSTON JUNCTION
50596,HARTFIELD CRESCENT
50597,MAPLETON ROAD
50598,LADYWELL LEISURE CENTRE
50599,CONNAUGHT AVENUE
50600,HOUNSLOW EAST STATION <>
50601,CRANBORNE ROAD
50603,COOMBER WAY / BEDDINGTON LANE
50604,SEWELL STREET
50605,LATCHETT ROAD
50606,EALING BROADWAY STATION <> #
50607,VALMAR ROAD
50608,GROVE PARK CEMETERY
50609,BRYAN ROAD / SURREY DOCKS FARM
50610,AGAR GROVE ESTATE
50611,CYPRESS ROAD
50612,QUEENS WALK
50613,HEDDON COURT AVENUE
50614,SYCAMORE CLOSE
50615,WOODMANSTERNE POST OFFICE
50616,SURBITON HEALTH CENTRE
50617,BRIXTON WATER LANE
50618,ST GEORGE'S HOSPITAL
50619,EAST VIEW KENNELS
50620,WESTERHAM HILL / BAPTIST CHURCH
50621,COLNEY HATCH LANE
50622,QUEX ROAD
50624,ST ANDREW'S CHURCH / WICKHAM ROAD
50625,JACK STRAW'S CASTLE / WHITESTONE POND
50626,STIFFORD ROAD
50627,UEL STRATFORD CAMPUS
50628,DANSON ROAD / SANDHURST ROAD
50629,CLARE ROAD
50630,WOBURN AVENUE
50631,TATE ROAD
50632,LAVENDER AVENUE
50633,BISHOPSFORD ROAD
50634,TOWPATH WAY
50635,SOUTH CRESCENT BUSINESS CENTRE
50636,ABBEY SCHOOL
50637,CHURCH ROAD / RED LION
50638,OLD CAVENDISH STREET
50639,BROMLEY ROAD / OAKWOOD AVENUE
50640,NIGHTINGALE ROAD
50641,RYDAL DRIVE
50642,PALACE ROAD
50643,BLERIOT ROAD
50644,CLEMENTINE CHURCHILL HOSPITAL
50645,THAMESIDE PARK CITY FARM
50646,RAVENSDALE AVENUE
50647,PLUMSTEAD COMMON / THE SHIP
50648,TRAMWAY AVENUE
50649,WOODPLACE LANE
50650,TWICKENHAM GREEN
50652,HATTON GREEN
50653,ST MARY & ST MICHAEL CHURCH
50654,GROVE LANE / CHAMPION PARK
50655,PARLIAMENT HILL FIELDS
50656,RENNESS ROAD
50657,FINCHLEY ROAD
50658,RANELAGH ROAD
50659,GOUROCK ROAD
50660,WOODSTOCK AVENUE
50661,HILARY ROAD
50662,WILMINGTON BOYS SCHOOL
50663,BEACONTREE AVENUE
50664,SHAKESPEARE ROAD
50665,EDMONTON GREEN BUS STATION
50666,WATERWORKS CORNER
50667,WEST THAMES COLLEGE
50668,EDEN PARK
50669,BROCKLEBANK ROAD
50670,LOLESWORTH CLOSE
50671,EDGWARE ROAD STATION <> / BAKERLOO LINE
50672,NIGHTINGALE DRIVE
50673,EDGEBURY PRIMARY SCHOOL
50674,FINCHLEY PARK
50675,ROGERS ROAD
50676,GOLDERS GREEN STATION <>
50677,HIGH STREET NORTH
50679,THE SQUIRRELS
50680,CAYGILL CLOSE
50681,BEDONWELL ROAD / LONG LANE
50682,CAVENDISH ROAD POLICE STATION
50683,SHINGLEWELL ROAD
50684,APPLE TREE AVENUE
50686,LOOP ROAD
50687,JOAN OF ARC SCHOOL
50688,ORCHARD ESTATE
50689,EDGWAREBURY LANE / EDGWARE WAY
50690,HAMMERSMITH BROADWAY
50691,CECIL ROAD
50692,MORNINGTON CRESCENT STATION <>
50693,BURLEIGH ROAD
50694,THE OLD VIC
50695,GENEVA ROAD
50696,HIGHBURY GRANGE/ LONDON METROPOLITAN UNI
50697,ANGEL CORNER / SILVER STREET STATION#
50698,SOUTH STREET
50699,CRYSTAL PALACE STATION #
50700,CLOVE CRESCENT
50701,BULLS BRIDGE TESCO
50702,BOUGHTON AVENUE
50703,GLEBE ROAD
50704,QUEENS AVENUE
50705,BERRYLANDS ROAD
50706,TURNHAM GREEN CHURCH
50707,ST GEORGES CENTRE
50708,PRIORY ROAD
50709,EAST END ROAD
50710,NORTH LONDON BUSINESS PARK
50711,SLADE GREEN ROAD / MANOR ROAD
50712,PARBURY RISE
50713,GRASMERE AVENUE
50714,AMHERST ROAD
50715,DARTFORD ROAD / BALDWYN'S PARK
50716,NEW CROSS BUS GARAGE
50717,DAMES ROAD
50718,ZANGWILL ROAD
50720,GLEBE LANE
50721,LEBANON ROAD TRAM STOP >T<
50722,NORWICH ROAD
50723,DORSET SQUARE / BAKER STREET STATION <>
50724,LESLIE CLOSE
50725,JERSEY ROAD
50726,NIGHTINGALE ROAD
50727,LOWER HALL LANE
50728,PRINCE OF WALES GATE
50729,CENTRAL PARK LEISURE CENTRE
50730,NORTHFIELDS STATION <>
50731,FITZWARREN GARDENS
50732,ELTHAM GREEN SCHOOL
50734,ROCHFORD WAY
50735,VICTORIA ROAD
50736,DALTON WAY
50737,RANDALL AVENUE
50739,WESTBOURNE TERRACE
50740,DULWICH PARK / QUEEN MARY'S GATE
50741,ELM TREE CLOSE
50742,MANOR HOUSE STATION <>
50743,CROMWELL AVENUE
50744,QUEENSTOWN ROAD STATION #
50745,ARENA ESSEX
50746,ELEY TRADING ESTATE
50747,DOUGLAS ROAD
50748,ST DOMINIC'S PRIORY
50749,BRIDGEWATER ROAD
50750,STANHOPE GARDENS
50751,MANSFIELD PARK
50752,SUSAN CLOSE
50753,GOODMAYES ROAD / GOODMAYES STATION#
50754,BERBERIS WALK
50755,HILLDROP ROAD
50756,MADDISON CLOSE
50757,ST WINIFRED'S ROAD
50758,TATE LIBRARY
50759,STAMFORD HILL BROADWAY
50760,TUDOR WAY
50761,THE CARDINAL
50762,YORK ROAD
50763,WARWICK GARDENS
50764,POPLAR WALK
50765,ALLAN WAY
50766,DOCKHEAD
50767,ALBERT ROAD
50768,NEW FETTER LANE
50769,DUNSTANS ROAD
50770,CASTELLAN AVENUE
50771,TWICKENHAM GOLF CENTRE
50772,TEDDINGTON LOCK
50773,GROSVENOR CRESCENT
50774,BELL ROAD
50775,WOOLWICH FERRY
50776,WULFSTAN STREET
50777,CHIPSTEAD VALLEY ROAD / BRIGHTON ROAD
50778,MORAY WAY
50779,WRYTHE LANE / ROSEHILL ROUNDABOUT
50780,PILGRIMS WAY
50781,CAMDEN ROAD
50784,DOWNSIDE ROAD
50785,FRANCIS GROVE
50786,MARYLAND STATION # / MANBEY GROVE
50787,THE WOODLANDS
50788,SKYPORT DRIVE
50789,DOVERS CORNER
50790,PARK CLOSE
50791,BROMLEY ROAD / LEWISHAM TOWN HALL
50792,MUNSTER ROAD
50793,CHAUCER ROAD / EFFRA PARADE
50794,MARBLE ARCH STATION <>
50795,DANE ROAD
50796,CALEDONIAN ROAD STATION <>
50797,WORSLEY BRIDGE ROAD / SOUTHEND LANE
50798,BYTTOM HILL
50799,SUTTON COMMON ROAD
50800,THE VILLA
50801,GARDEN CLOSE
50802,LOUGHTON STATION <>
50803,CATERHAM AVENUE
50804,ST GILES AVENUE
50805,ADLEY STREET
50806,BRENTFIELD ROAD
50807,KITCHENER ROAD
50808,BROCKLEY STATION #
50809,TREEWALL GARDENS
50810,LAMBETH TOWN HALL
50811,TUDWAY ROAD / KIDBROOKE PARK ROAD
50812,BIRD IN BUSH ROAD
50813,BARKING ROAD
50814,MORNING LANE / TRELAWNEY ESTATE
50815,JACK STRAW'S CASTLE / WHITESTONE POND
50816,CASTLEBAR ROAD
50817,CHINGFORD MOUNT
